"id","link","internalLevel","internalSubtype","name","trait","quality","value","level","type","equipType","weaponType","armorType","armorRating","weaponPower","cond","enchantName","enchantDesc","setName","setBonusCount","setMaxEquipCount","setBonusCount1","setBonusCount2","setBonusCount3","setBonusCount4","setBonusDesc1","setBonusDesc2","setBonusDesc3","setBonusDesc4","bindType","traitDesc","comment"
"19220435","|H0:item:68118:19:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","19","Molag Kena's Mask","18","2","10","1","2","1","0","2","101","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 6 Weapon Damage","Adds 6 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 24 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","unknown"
"19219937","|H0:item:68118:3:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","3","Molag Kena's Mask","18","2","11","1","2","1","0","2","143","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 9 Weapon Damage","Adds 9 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 36 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","dropped"
"19220736","|H0:item:68118:26:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","26","Molag Kena's Mask","18","2","11","1","2","1","0","2","143","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 9 Weapon Damage","Adds 9 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 36 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","crafted"
"19220755","|H0:item:68118:31:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","31","Molag Kena's Mask","18","2","11","1","2","1","0","2","122","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 7 Weapon Damage","Adds 7 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 30 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","crafted"
"19219943","|H0:item:68118:9:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","9","Molag Kena's Mask","18","2","12","1","2","1","0","2","164","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 10 Weapon Damage","Adds 10 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 42 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","dropped"
"19220486","|H0:item:68118:21:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","21","Molag Kena's Mask","18","2","12","1","2","1","0","2","164","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 10 Weapon Damage","Adds 10 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 42 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","crafted"
"19220989","|H0:item:68118:122:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","122","Molag Kena's Mask","18","3","3","1","2","1","0","2","38","0","0","Maximum Stamina Enchantment","Adds 80 Maximum Stamina.","Molag Kena","3","0","1","1","2","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 5.5%.","unknown"
"19219938","|H0:item:68118:4:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","4","Molag Kena's Mask","18","3","12","1","2","1","0","2","185","0","0","Maximum Stamina Enchantment","Adds 80 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 12 Weapon Damage","Adds 12 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 48 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 5.5%.","dropped"
"19220805","|H0:item:68118:32:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","32","Molag Kena's Mask","18","3","12","1","2","1","0","2","185","0","0","Maximum Stamina Enchantment","Adds 80 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 12 Weapon Damage","Adds 12 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 48 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 5.5%.","crafted"
"19220819","|H0:item:68118:50:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","50","Molag Kena's Mask","18","3","12","1","2","1","0","2","185","0","0","Maximum Stamina Enchantment","Adds 80 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 12 Weapon Damage","Adds 12 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 48 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 5.5%.","unknown"
"19219941","|H0:item:68118:7:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","7","Molag Kena's Mask","18","3","13","1","2","1","0","2","206","0","0","Maximum Stamina Enchantment","Adds 80 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 13 Weapon Damage","Adds 13 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 54 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 5.5%.","dropped"
"19220385","|H0:item:68118:11:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","11","Molag Kena's Mask","18","3","13","1","2","1","0","2","206","0","0","Maximum Stamina Enchantment","Adds 80 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 13 Weapon Damage","Adds 13 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 54 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 5.5%.","dropped"
"19220737","|H0:item:68118:27:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","27","Molag Kena's Mask","18","3","13","1","2","1","0","2","206","0","0","Maximum Stamina Enchantment","Adds 80 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 13 Weapon Damage","Adds 13 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 54 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 5.5%.","crafted"
"19220818","|H0:item:68118:49:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","49","Molag Kena's Mask","18","3","13","1","2","1","0","2","206","0","0","Maximum Stamina Enchantment","Adds 80 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 13 Weapon Damage","Adds 13 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 54 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 5.5%.","unknown"
"19220487","|H0:item:68118:22:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","22","Molag Kena's Mask","18","3","15","1","2","1","0","2","227","0","0","Maximum Stamina Enchantment","Adds 80 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 15 Weapon Damage","Adds 15 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 60 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 5.5%.","crafted"
"19220990","|H0:item:68118:123:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","123","Molag Kena's Mask","18","4","3","1","2","1","0","2","38","0","0","Maximum Stamina Enchantment","Adds 84 Maximum Stamina.","Molag Kena","3","0","1","1","2","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 6.5%.","unknown"
"19219939","|H0:item:68118:5:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","5","Molag Kena's Mask","18","4","16","1","2","1","0","2","248","0","0","Maximum Stamina Enchantment","Adds 84 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 16 Weapon Damage","Adds 16 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 66 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 6.5%.","dropped"
"19219942","|H0:item:68118:8:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","8","Molag Kena's Mask","18","4","16","1","2","1","0","2","269","0","0","Maximum Stamina Enchantment","Adds 84 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 18 Weapon Damage","Adds 18 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 72 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 6.5%.","dropped"
"19220738","|H0:item:68118:28:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","28","Molag Kena's Mask","18","4","16","1","2","1","0","2","269","0","0","Maximum Stamina Enchantment","Adds 84 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 18 Weapon Damage","Adds 18 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 72 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 6.5%.","crafted"
"19220806","|H0:item:68118:33:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","33","Molag Kena's Mask","18","4","16","1","2","1","0","2","248","0","0","Maximum Stamina Enchantment","Adds 84 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 16 Weapon Damage","Adds 16 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 66 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 6.5%.","crafted"
"19220488","|H0:item:68118:23:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","23","Molag Kena's Mask","18","4","17","1","2","1","0","2","290","0","0","Maximum Stamina Enchantment","Adds 84 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 19 Weapon Damage","Adds 19 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 78 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 6.5%.","crafted"
"19220991","|H0:item:68118:124:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","124","Molag Kena's Mask","18","5","3","1","2","1","0","2","38","0","0","Maximum Stamina Enchantment","Adds 91 Maximum Stamina.","Molag Kena","3","0","1","1","2","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 7.5%.","unknown"
"19219940","|H0:item:68118:6:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","6","Molag Kena's Mask","18","5","18","1","2","1","0","2","311","0","0","Maximum Stamina Enchantment","Adds 91 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 21 Weapon Damage","Adds 21 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 84 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 7.5%.","dropped"
"19220739","|H0:item:68118:29:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","29","Molag Kena's Mask","18","5","18","1","2","1","0","2","332","0","0","Maximum Stamina Enchantment","Adds 91 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 22 Weapon Damage","Adds 22 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 90 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 7.5%.","crafted"
"19220807","|H0:item:68118:34:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","34","Molag Kena's Mask","18","5","18","1","2","1","0","2","311","0","0","Maximum Stamina Enchantment","Adds 91 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 21 Weapon Damage","Adds 21 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 84 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 7.5%.","crafted"
"19220489","|H0:item:68118:24:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","24","Molag Kena's Mask","18","5","20","1","2","1","0","2","353","0","0","Maximum Stamina Enchantment","Adds 91 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 24 Weapon Damage","Adds 24 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 96 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 7.5%.","crafted"
"19219944","|H0:item:68118:1:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","1","Molag Kena's Mask","18","0","6","2","2","1","0","2","59","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 3 Weapon Damage","Adds 3 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 12 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 2.5%.","dropped"
"19221289","|H0:item:68118:177:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","177","Molag Kena's Mask","18","0","8","2","2","1","0","2","80","0","0","","","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 4 Weapon Damage","Adds 4 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 18 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 2.5%.","unknown"
"19221239","|H0:item:68118:175:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","175","Molag Kena's Mask","18","1","6","2","2","1","0","2","59","0","0","Maximum Stamina Enchantment","Adds 70 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 3 Weapon Damage","Adds 3 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 12 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","unknown"
"19219945","|H0:item:68118:2:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","2","Molag Kena's Mask","18","1","8","2","2","1","0","2","80","0","0","Maximum Stamina Enchantment","Adds 70 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 4 Weapon Damage","Adds 4 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 18 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","dropped"
"19220740","|H0:item:68118:25:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","25","Molag Kena's Mask","18","1","10","2","2","1","0","2","101","0","0","Maximum Stamina Enchantment","Adds 70 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 6 Weapon Damage","Adds 6 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 24 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","crafted"
"19220490","|H0:item:68118:20:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","20","Molag Kena's Mask","18","1","11","2","2","1","0","2","122","0","0","Maximum Stamina Enchantment","Adds 70 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 7 Weapon Damage","Adds 7 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 30 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","crafted"
"19220992","|H0:item:68118:121:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","121","Molag Kena's Mask","18","2","6","2","2","1","0","2","59","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 3 Weapon Damage","Adds 3 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 12 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","unknown"
"19220436","|H0:item:68118:19:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","19","Molag Kena's Mask","18","2","11","2","2","1","0","2","122","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 7 Weapon Damage","Adds 7 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 30 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","unknown"
"19220756","|H0:item:68118:31:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","31","Molag Kena's Mask","18","2","11","2","2","1","0","2","143","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 9 Weapon Damage","Adds 9 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 36 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","crafted"
"19219946","|H0:item:68118:3:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","3","Molag Kena's Mask","18","2","12","2","2","1","0","2","164","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 10 Weapon Damage","Adds 10 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 42 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","dropped"
